image_key,native_keys,known_missing_keys,known_paths,game_names,streamed_city,existing_hd_keys,original_width,original_height,ai_width,ai_height,original_alpha_min,original_alpha_max,ai_alpha_min,ai_alpha_max,alpha_mae,alpha_large_difference_fraction,opaque_core_bad_fraction,opaque_core_mean_drop,clear_core_bad_fraction,alpha_status,detail_status,min_resize_mae,original_png,ai_path,ai_sha256,review_id,key,path,source,source_url,decision,visual_review,source_bytes_unchanged,ready_path
32x32:349d4e97c3be566b69dace33ab7ba9932921c8f3c60bb957c30c7d8eaa8e9e21,00000000548dd0c12468c5a1,,,,True,,32,32,128,128,31,251,0,255,3.0114,0.000977,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,9.7337,originals/32x32_349d4e97c3be566b69dace33ab7ba9932921c8f3c60bb957c30c7d8eaa8e9e21.png,ULES00502/ai_upscaled/others/32_32/00000000548dd0c19d70dbc9.png,f9254aa55f1ab88f98ba4ef1ac89b24008ea34778242d7bb571870ed8ac71de6,76,00000000548dd0c12468c5a1,Assets/World/AI/00000000548dd0c19d70dbc9.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000548dd0c19d70dbc9.png
32x32:7ed1e18e9d755ce7d5ff552d94fdcdc46fc5ebd4cb1de80a5a19a9e60ea77d03,00000000d68b284acea83ead,,,,True,,32,32,128,128,0,247,0,255,4.791,0.000977,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,30.8958,originals/32x32_7ed1e18e9d755ce7d5ff552d94fdcdc46fc5ebd4cb1de80a5a19a9e60ea77d03.png,ULES00502/ai_upscaled/others/32_32/00000000d68b284a44b66383.png,5f3f7e748d82733ff2a889ebd4eb5b17a89ecbcd59174eceed9c297ef9cb30ec,77,00000000d68b284acea83ead,Assets/World/AI/00000000d68b284a44b66383.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000d68b284a44b66383.png
32x32:69989b7838b92b57df3aa93dca75c5118e5e688f809e9a04579f89fb67347054,0000000079186476573589a9,,,,True,,32,32,128,128,0,255,0,255,5.0895,0.0,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,22.0213,originals/32x32_69989b7838b92b57df3aa93dca75c5118e5e688f809e9a04579f89fb67347054.png,ULES00502/ai_upscaled/others/32_32/0000000079186476357487f2.png,0451c2febfaa015116e3970c8fc988a592b14ff9b1ffdda14652d02b80937e16,78,0000000079186476573589a9,Assets/World/AI/0000000079186476357487f2.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/0000000079186476357487f2.png
32x32:1c8747ddfc05de5e5129d7b6e539c1a6a1a8200087245db9cae63acbbd262ff2,00000000318b13dd2b829431,,,,True,,32,32,128,128,0,254,0,255,4.5715,0.000977,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,27.4899,originals/32x32_1c8747ddfc05de5e5129d7b6e539c1a6a1a8200087245db9cae63acbbd262ff2.png,ULES00502/ai_upscaled/others/32_32/00000000318b13ddd3672dc3.png,63c19bcb4e9f8a5a8eff4ebfc1bd7f9d388fc7a39115f05117146de03e4571b7,79,00000000318b13dd2b829431,Assets/World/AI/00000000318b13ddd3672dc3.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000318b13ddd3672dc3.png
32x32:88e9b77939aa1830f12720c90bfd1c64ca3c9dc2c4c7f4ab2638fd5d8186874e,00000000b97eba10ff0d2dc8,,,,True,,32,32,128,128,0,255,0,250,3.3445,0.0,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,7.1131,originals/32x32_88e9b77939aa1830f12720c90bfd1c64ca3c9dc2c4c7f4ab2638fd5d8186874e.png,ULES00502/ai_upscaled/others/32_32/00000000b97eba1088be38e2.png,af609b9f1b7ec38a61324ed8d5d3c7afe62e0864d0638bad744deb01647b7c00,80,00000000b97eba10ff0d2dc8,Assets/World/AI/00000000b97eba1088be38e2.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000b97eba1088be38e2.png
64x64:39db3addb5ae43ef78c835e85ae0f73f2a7584a4c0cd6660b2d086bb3dbfb0c1,0000000067d39ee9ac93b50b,,,,True,,64,64,256,256,0,251,0,255,5.9389,0.000732,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,16.3169,originals/64x64_39db3addb5ae43ef78c835e85ae0f73f2a7584a4c0cd6660b2d086bb3dbfb0c1.png,ULES00502/ai_upscaled/others/64_64/0000000067d39ee9118dd9bf.png,64eb86769852e88e519af3274c6066942d6a097d12a836fefca6fb5846e4c153,82,0000000067d39ee9ac93b50b,Assets/World/AI/0000000067d39ee9118dd9bf.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/0000000067d39ee9118dd9bf.png
128x128:2fa70d3f2d666a1a6fdb25feba6850973fde5af13d027917d0786d0961cbb32b,00000000dc08d561945572a4,00000000dc08d561945572a4,Signs/VCIA_Welcome.png,,True,,128,128,512,512,0,253,0,255,4.7063,0.000366,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,13.1224,originals/128x128_2fa70d3f2d666a1a6fdb25feba6850973fde5af13d027917d0786d0961cbb32b.png,ULES00502/ai_upscaled/texts/00000000dc08d5612cfb4278.png,9197707aae0b25aaedd5578f1c1cfc3aada9b54b320a07f19aeca2da37e0689d,83,00000000dc08d561945572a4,Assets/World/AI/00000000dc08d5612cfb4278.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000dc08d5612cfb4278.png
128x128:bd914dbff4e65b22f3ec802feca19fcae86bcafb5ab9747389a97250439b294c,00000000a779754304445bdb,00000000a779754304445bdb,Signs/Tag_7.png,,True,,128,128,512,512,5,213,0,230,6.4695,0.000916,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,19.407,originals/128x128_bd914dbff4e65b22f3ec802feca19fcae86bcafb5ab9747389a97250439b294c.png,ULES00502/ai_upscaled/graffiti/00000000a7797543d05ad255.png,121fcd148759c9ad72e45936d3b671a7e4c38aa99396cc3997c633c257608cfc,88,00000000a779754304445bdb,Assets/World/AI/00000000a7797543d05ad255.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000a7797543d05ad255.png
128x64:12ee47b9fdca2c7539b0f4f6bb7f78b42a4bdd32646f72f4e871388330927598,000000009c02ddf2af0e7386,000000009c02ddf2af0e7386,Signs/Tag_2.png,,True,,128,64,512,256,1,224,0,255,5.3311,0.004517,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,14.1236,originals/128x64_12ee47b9fdca2c7539b0f4f6bb7f78b42a4bdd32646f72f4e871388330927598.png,ULES00502/ai_upscaled/graffiti/000000009c02ddf2dad931d1.png,15134db963554fe410a06a4a40e1ef416d8e9f73c4797c4fb93ddbe1d14d6e35,90,000000009c02ddf2af0e7386,Assets/World/AI/000000009c02ddf2dad931d1.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/000000009c02ddf2dad931d1.png
128x128:40437a264b3afd14701ec6ceced0996280e7457d23305d7915ca677ecd13fff9,00000000c49cf09de6bd8d61,00000000c49cf09de6bd8d61,Signs/Tag_6.png,,True,,128,128,512,512,3,213,0,255,7.413,0.016541,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,17.74,originals/128x128_40437a264b3afd14701ec6ceced0996280e7457d23305d7915ca677ecd13fff9.png,ULES00502/ai_upscaled/graffiti/00000000c49cf09d37f07040.png,a8871571a044c8c0d95fb3fab9f84dc1834727fc6b0baf19e6ce505d70978a9a,91,00000000c49cf09de6bd8d61,Assets/World/AI/00000000c49cf09d37f07040.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000c49cf09d37f07040.png
128x64:668af9ed118226545de05cd61797bfe67c8fd349de622f0f0bdbca042d75ddd7,0000000057cd126434fc9437,0000000057cd126434fc9437,Signs/Tag_5.png,,True,,128,64,512,256,5,189,0,195,5.4963,0.012451,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,18.6442,originals/128x64_668af9ed118226545de05cd61797bfe67c8fd349de622f0f0bdbca042d75ddd7.png,ULES00502/ai_upscaled/graffiti/0000000057cd12646b9e2bc2.png,7669b6ef121e46b33bc7b976fc4eceaec8b041f7479bee9afa7bea3909408016,92,0000000057cd126434fc9437,Assets/World/AI/0000000057cd12646b9e2bc2.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/0000000057cd12646b9e2bc2.png
32x32:adf34d60b1ee585564ac6ea0fcd76d82ddef0d9816910039636444cfef7a593f,000000004b60928d7ba8fac1,,,,True,,32,32,128,128,0,203,0,255,2.1245,0.000977,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,3.0052,originals/32x32_adf34d60b1ee585564ac6ea0fcd76d82ddef0d9816910039636444cfef7a593f.png,ULES00502/ai_upscaled/others/32_32/000000004b60928da4e72318.png,3dedab6f492bba670c31d720088de9e6403b80648ce32cf73e060f2c9355531a,93,000000004b60928d7ba8fac1,Assets/World/AI/000000004b60928da4e72318.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/000000004b60928da4e72318.png
32x32:687b2a1e2a308bf0c4971d79ea9f4e372224cade56b80df539a2150b104f18ba,000000008222a9e7b2683617,,,,True,,32,32,128,128,0,255,0,255,5.4701,0.001953,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,29.9721,originals/32x32_687b2a1e2a308bf0c4971d79ea9f4e372224cade56b80df539a2150b104f18ba.png,ULES00502/ai_upscaled/others/32_32/000000008222a9e72ddd6881.png,3ffb539ec7a17b1056570ae860340b5db8b5fc200e95302a62bac7d882cd21c0,94,000000008222a9e7b2683617,Assets/World/AI/000000008222a9e72ddd6881.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/000000008222a9e72ddd6881.png
32x32:bfec1757ddd17f5b3cc32c6e13e0b9522dbc0ccbee4a24fc21cac44213d4228a,000000009d442f43503ca4c3,,,,True,,32,32,128,128,0,255,0,255,4.0788,0.0,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,24.237,originals/32x32_bfec1757ddd17f5b3cc32c6e13e0b9522dbc0ccbee4a24fc21cac44213d4228a.png,ULES00502/ai_upscaled/others/32_32/000000009d442f4325f84f16.png,41017b95a408edf5cdac6f40b15cb642da3a9bd5d1d885218454bdb7cb4e4eab,95,000000009d442f43503ca4c3,Assets/World/AI/000000009d442f4325f84f16.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/000000009d442f4325f84f16.png
64x64:4278087ab687158e5057c0f58c45001a0d6193846f0a1e6f4c2301af6c09820f,00000000cb6a7b4f5ec39b43,,,,True,,64,64,256,256,0,252,0,255,6.0446,0.001709,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,24.692,originals/64x64_4278087ab687158e5057c0f58c45001a0d6193846f0a1e6f4c2301af6c09820f.png,ULES00502/ai_upscaled/others/64_64/00000000cb6a7b4fafdee669.png,93e5ff930f6a173a19dd7cf6b034e828390b9beacbc333d71db9a9d82886cb16,96,00000000cb6a7b4f5ec39b43,Assets/World/AI/00000000cb6a7b4fafdee669.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000cb6a7b4fafdee669.png
64x64:88dd89c2ec12851e61086d1f663fadb4dba9f422d010afab3f3dcd9acf106825,000000007067eb4f7495af9e,000000007067eb4f7495af9e,Signs/Police_Only.png,,True,,64,64,256,256,1,247,0,255,5.7037,0.012207,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,12.6681,originals/64x64_88dd89c2ec12851e61086d1f663fadb4dba9f422d010afab3f3dcd9acf106825.png,ULES00502/ai_upscaled/texts/000000007067eb4faf09b94c.png,ee968a65173a9220181dedc04ae07c4604ee95bcea10579e26b98984de3cc41a,97,000000007067eb4f7495af9e,Assets/World/AI/000000007067eb4faf09b94c.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/000000007067eb4faf09b94c.png
64x64:dc3829a70a418e0034b3e9df048ea44252848c628b66ed5ce761d0a5574bfa8e,000000002a290c01ce15638c,000000002a290c01ce15638c,Signs/Parking.png,,True,,64,64,256,256,0,211,0,255,3.4646,0.0,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,12.1336,originals/64x64_dc3829a70a418e0034b3e9df048ea44252848c628b66ed5ce761d0a5574bfa8e.png,ULES00502/ai_upscaled/texts/000000002a290c0176679475.png,a59d701d03048252d4383dfd2343c0aec6cc80f386a9f5a96bcaaba8128e277e,98,000000002a290c01ce15638c,Assets/World/AI/000000002a290c0176679475.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/000000002a290c0176679475.png
64x64:2805bb840b1d5bd5c40e430256c5c43fd43de01b836c384f255d1843076a9bd7,00000000d8cfae86c3aef8c1,00000000d8cfae86c3aef8c1,Signs/Tag_14.png,,True,,64,64,256,256,1,159,0,210,3.8299,0.006348,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,22.0079,originals/64x64_2805bb840b1d5bd5c40e430256c5c43fd43de01b836c384f255d1843076a9bd7.png,ULES00502/ai_upscaled/graffiti/00000000d8cfae8619810190.png,1cd6716916a164f75ac30cb566ad5dc9b18d41baf69d3eff357c558121146876,105,00000000d8cfae86c3aef8c1,Assets/World/AI/00000000d8cfae8619810190.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000d8cfae8619810190.png
64x64:530477224fb68864432b6db4e6961657a24f00cc09721cdb2b7f7eb0487110e5,00000000297b39e1af1e10f8,,,,True,,64,64,256,256,5,243,0,255,7.8547,0.016357,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,33.7026,originals/64x64_530477224fb68864432b6db4e6961657a24f00cc09721cdb2b7f7eb0487110e5.png,ULES00502/ai_upscaled/others/64_64/00000000297b39e1d1512974.png,e665322bd1524bc1ee577f9c744d0c229d289b80fa3e8cefc5a2f300af2e1bd3,106,00000000297b39e1af1e10f8,Assets/World/AI/00000000297b39e1d1512974.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000297b39e1d1512974.png
